,fullname,team,birthdate,country,height,weight,birthplace,one_day_race_pts,gc_pts,tt_pts,sprint_pts,climb_pts,pcs_ranking,uci_ranking,number_wins,pts_pcs_2023,rank_pcs_2023,pts_pcs_2022,rank_pcs_2022,pts_pcs_2021,rank_pcs_2021,pts_pcs_2020,rank_pcs_2020,pts_pcs_2019,rank_pcs_2019,rider_code,rider_url
701,Chad  Haga ,Human Powered Health,26/08/1988,United States,1.91,71.5,McKinney,84,485,1362,57,256,1823,2015,2,0,0,6,1774,64,606,105,307,228,281,chad-haga,https://www.procyclingstats.com/rider/chad-haga
702,August  Jensen ,Human Powered Health,29/08/1991,Norway,1.76,67,Bodø,330,417,48,676,354,1832,0,1,0,0,5,1852,42,755,51,506,87,673,august-jensen,https://www.procyclingstats.com/rider/august-jensen
703,Stanisław  Aniołkowski ,Human Powered Health,20/01/1997,Poland,1.81,68,Warsaw,441,182,103,922,201,291,329,3,24,295,252,240,281,197,143,239,193,336,stanislaw-aniolkowski,https://www.procyclingstats.com/rider/stanislaw-aniolkowski
704,Gijs Van Hoecke ,Human Powered Health,12/11/1991,Belgium,1.86,78,Gent,434,361,175,336,19,1169,2942,0,0,0,25,1065,92,481,30,720,101,588,gijs-van-hoecke,https://www.procyclingstats.com/rider/gijs-van-hoecke
705,Alan  Banaszek ,Human Powered Health,30/10/1997,Poland,1.81,75,Warsaw,261,214,42,1138,83,248,296,3,0,0,256,237,152,342,50,526,1,2612,alan-banaszek,https://www.procyclingstats.com/rider/alan-banaszek
706,Colin  Joyce ,Human Powered Health,06/08/1994,United States,1.78,0,Pocatello,128,271,76,493,250,1147,1146,3,0,0,25,1058,88,491,14,1045,50,914,colin-joyce,https://www.procyclingstats.com/rider/colin-joyce
707,Benjamin  Perry ,Human Powered Health,07/03/1994,Canada,1.81,71,St. Catharines,184,247,7,224,106,422,392,1,5,661,135,367,30,886,0,0,139,448,benjamin-perry,https://www.procyclingstats.com/rider/benjamin-perry
708,Sebastian  Schönberger ,Human Powered Health,14/05/1994,Austria,1.82,64,Linz,208,216,11,60,196,428,557,0,0,0,131,376,108,441,22,848,113,534,sebastian-schonberger,https://www.procyclingstats.com/rider/sebastian-schonberger
709,Sasha  Weemaes ,Human Powered Health,09/02/1998,Belgium,1.77,73,Sint-Niklaas,333,18,12,516,3,343,305,0,0,0,203,279,49,700,33,687,55,870,sasha-weemaes,https://www.procyclingstats.com/rider/sasha-weemaes
710,Barnabás  Peák ,Human Powered Health,29/11/1998,Hungary,1.83,74,Budapest,228,68,195,182,64,330,301,3,0,0,167,320,49,697,37,640,29,1143,barnabas-peak,https://www.procyclingstats.com/rider/barnabas-peak
711,Adam de Vos ,Human Powered Health,21/10/1993,Canada,1.88,0,Victoria,188,66,53,182,112,1835,0,2,5,744,4,1876,12,1285,32,699,80,717,adam-de-vos,https://www.procyclingstats.com/rider/adam-de-vos
712,Pier-André  Coté ,Human Powered Health,24/04/1997,Canada,1.83,0,Gaspé,161,73,55,168,102,518,331,1,2,826,106,442,94,476,10,1163,28,1166,pier-andre-cote,https://www.procyclingstats.com/rider/pier-andre-cote
713,Kristian  Aasvold ,Human Powered Health,30/05/1995,Norway,1.73,61,Snåsa,92,170,20,120,196,1302,0,0,0,0,15,1294,165,320,16,971,34,1068,kristian-aasvold,https://www.procyclingstats.com/rider/kristian-aasvold
714,Paul  Double ,Human Powered Health,25/06/1996,Great Britain,1.71,56,Winchester,52,136,4,20,114,328,333,0,0,0,169,316,24,987,11,1095,0,0,paul-double,https://www.procyclingstats.com/rider/paul-double
715,Matthew  Gibson ,Human Powered Health,02/09/1996,Great Britain,1.83,76,Warrington,7,46,56,402,85,1610,2178,1,0,0,27,1022,26,945,0,0,102,584,matthew-gibson,https://www.procyclingstats.com/rider/matthew-gibson
716,Stephen  Bassett ,Human Powered Health,27/03/1995,United States,1.91,0,Knoxville,21,35,71,72,72,1920,2205,0,0,0,27,1018,1,2167,1,1623,52,897,stephen-bassett,https://www.procyclingstats.com/rider/stephen-bassett
717,Scott  McGill ,Human Powered Health,20/09/1998,United States,0,0,Fallston,15,6,16,82,78,524,981,2,0,0,92,494,0,0,2,1549,1,2611,scott-mcgill,https://www.procyclingstats.com/rider/scott-mcgill
718,Gage  Hecht ,Human Powered Health,18/02/1998,United States,1.8,72,New Orleans,1,42,84,68,16,0,0,1,0,0,0,0,25,961,0,0,1,2538,gage-hecht,https://www.procyclingstats.com/rider/gage-hecht
719,Bart  Lemmen ,Human Powered Health,14/10/1995,Netherlands,0,0,None,20,32,58,4,39,629,537,0,5,654,62,640,0,0,0,0,0,0,bart-lemmen,https://www.procyclingstats.com/rider/bart-lemmen
720,Wessel  Krul ,Human Powered Health,28/01/2000,Netherlands,1.83,75,Enkhuizen,37,0,4,37,0,0,0,0,0,0,0,0,47,716,5,1371,0,0,wessel-krul,https://www.procyclingstats.com/rider/wessel-krul
721,Embret  Svestad-Bårdseng ,Human Powered Health,01/09/2002,Norway,0,0,Oslo,20,25,4,26,36,1003,867,0,7,583,29,984,10,1429,0,0,0,0,embret-svestad-bardseng,https://www.procyclingstats.com/rider/embret-svestad-bardseng
722,Charles-Étienne  Chrétien ,Human Powered Health,19/06/1999,Canada,1.77,65,Amos,5,12,14,6,24,2123,2248,0,0,0,2,2086,0,0,10,1132,5,2050,charlesetienne-chretien,https://www.procyclingstats.com/rider/charlesetienne-chretien
723,Cory  Greenberg ,Human Powered Health,23/01/1988,United States,1.77,72,Simi Valley,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cory-greenberg,https://www.procyclingstats.com/rider/cory-greenberg
724,Chris  Froome ,Israel - Premier Tech,20/05/1985,Great Britain,1.86,68,Nairobi,256,8281,4389,370,7983,523,1144,46,5,725,87,518,45,726,35,669,82,703,christopher-froome,https://www.procyclingstats.com/rider/christopher-froome
725,Jakob  Fuglsang ,Israel - Premier Tech,22/03/1985,Denmark,1.81,65,Geneva,3498,6518,1677,598,7331,148,112,27,0,0,484,110,453,113,1329,4,2143,4,jakob-fuglsang,https://www.procyclingstats.com/rider/jakob-fuglsang
726,Giacomo  Nizzolo ,Israel - Premier Tech,30/01/1989,Italy,1.84,72,Milan,4280,547,234,5518,1577,128,141,29,88,115,527,97,1068,25,659,42,581,95,giacomo-nizzolo,https://www.procyclingstats.com/rider/giacomo-nizzolo
727,Sep  Vanmarcke ,Israel - Premier Tech,28/07/1988,Belgium,1.9,77,Kortrijk,4653,781,266,1853,1528,220,208,9,63,152,247,245,378,137,69,423,578,96,sep-vanmarcke,https://www.procyclingstats.com/rider/sep-vanmarcke
728,Ben  Hermans ,Israel - Premier Tech,08/06/1986,Belgium,1.86,72,Hasselt,1537,3301,602,901,2393,0,0,19,0,0,20,1147,663,62,181,184,590,93,ben-hermans,https://www.procyclingstats.com/rider/ben-hermans
729,Michael  Woods ,Israel - Premier Tech,12/10/1986,Canada,1.75,64,Toronto,2535,1951,40,182,4418,127,125,11,14,446,539,94,1217,16,641,45,1100,28,michael-woods,https://www.procyclingstats.com/rider/michael-woods
730,Daryl  Impey ,Israel - Premier Tech,06/12/1984,South Africa,1.81,70,Johannesburg,1482,1861,1005,1484,3122,293,440,30,14,443,190,296,184,289,358,97,920,44,daryl-impey,https://www.procyclingstats.com/rider/daryl-impey
731,Dylan  Teuns ,Israel - Premier Tech,01/03/1992,Belgium,1.81,64,Diest,1702,2368,528,339,3522,39,39,14,23,319,939,37,616,74,401,83,886,49,dylan-teuns,https://www.procyclingstats.com/rider/dylan-teuns
732,Simon  Clarke ,Israel - Premier Tech,18/07/1986,Australia,1.75,63,Melbourne,2231,1440,134,1359,2422,122,74,7,217,21,393,149,236,232,294,124,704,76,simon-clarke,https://www.procyclingstats.com/rider/simon-clarke
733,Tom Van Asbroeck ,Israel - Premier Tech,19/04/1990,Belgium,1.82,72,Aalst,2536,494,20,3199,524,415,534,4,34,241,99,467,354,148,104,311,608,89,tom-van-asbroeck,https://www.procyclingstats.com/rider/tom-van-asbroeck
734,Hugo  Houle ,Israel - Premier Tech,27/09/1990,Canada,1.82,72,Sainte-Perpétue,596,877,641,190,835,94,162,4,22,335,531,96,178,296,122,285,200,322,hugo-houle,https://www.procyclingstats.com/rider/hugo-houle
735,Guillaume  Boivin ,Israel - Premier Tech,25/05/1989,Canada,1.8,78,Montreal,1175,417,152,1428,304,331,293,5,8,567,163,324,183,292,34,675,160,395,guillaume-boivin,https://www.procyclingstats.com/rider/guillaume-boivin
736,Krists  Neilands ,Israel - Premier Tech,18/08/1994,Latvia,1.89,69,Ventspils,579,629,224,220,549,295,353,9,45,195,158,331,115,413,69,429,507,121,krists-neilands,https://www.procyclingstats.com/rider/krists-neilands
737,Rick  Zabel ,Israel - Premier Tech,07/12/1993,Germany,1.84,77,Unna,606,332,51,1018,370,594,1481,2,0,0,84,534,66,593,105,309,95,628,rick-zabel,https://www.procyclingstats.com/rider/rick-zabel
738,Reto  Hollenstein ,Israel - Premier Tech,22/08/1985,Switzerland,1.97,80,Frauenfeld,381,746,653,240,230,746,1928,0,0,0,50,721,71,564,40,611,99,602,reto-hollenstein,https://www.procyclingstats.com/rider/reto-hollenstein
739,Nick  Schultz ,Israel - Premier Tech,13/09/1994,Australia,1.8,68,Brisbane,254,690,64,101,954,197,327,2,35,238,291,209,294,181,96,329,231,277,nick-schultz,https://www.procyclingstats.com/rider/nick-schultz
740,Mads  Würtz Schmidt ,Israel - Premier Tech,31/03/1994,Denmark,1.76,70,Randers,355,504,598,358,318,706,1052,4,24,300,65,619,203,260,59,467,136,453,mads-wurtz-schmidt,https://www.procyclingstats.com/rider/mads-wurtz-schmidt
741,Corbin  Strong ,Israel - Premier Tech,30/04/2000,New Zealand,1.73,63,Invercargill,316,189,30,122,326,125,101,1,126,79,327,184,36,805,15,1020,83,698,corbin-strong,https://www.procyclingstats.com/rider/corbin-strong
742,Itamar  Einhorn ,Israel - Premier Tech,20/09/1997,Israel,1.72,72,Modi'in,227,24,30,570,42,300,258,2,34,244,159,329,100,459,69,424,14,1542,itamar-einhorn,https://www.procyclingstats.com/rider/itamar-einhorn
743,Omer  Goldstein ,Israel - Premier Tech,13/08/1996,Israel,1.74,61,Misgav,108,154,186,48,168,361,551,4,0,0,165,322,85,499,57,486,11,1635,omer-goldstein,https://www.procyclingstats.com/rider/omer-goldstein
744,Stephen  Williams ,Israel - Premier Tech,09/06/1996,Great Britain,1.83,59,Aberystwyth,70,172,5,68,236,581,572,3,0,0,79,561,184,291,5,1323,0,0,stephen-williams,https://www.procyclingstats.com/rider/stephen-williams
745,Sebastian  Berwick ,Israel - Premier Tech,15/12/1999,Australia,1.75,59,Brisbane,16,213,5,7,134,478,560,0,55,168,63,634,26,941,89,347,25,1217,sebastian-berwick,https://www.procyclingstats.com/rider/sebastian-berwick
746,Jens  Reynders ,Israel - Premier Tech,25/05/1998,Belgium,1.84,76,Tongeren,219,48,1,194,10,675,729,0,0,0,60,651,129,380,0,0,29,1141,jens-reynders,https://www.procyclingstats.com/rider/jens-reynders
747,Guy  Sagiv ,Israel - Premier Tech,05/12/1994,Israel,1.8,68,Namur,117,60,88,1,0,1303,1387,5,0,0,15,1277,12,1300,47,544,40,991,guy-sagiv,https://www.procyclingstats.com/rider/guy-sagiv
748,Matthew  Riccitello ,Israel - Premier Tech,05/03/2002,United States,1.72,55,Tucson,0,102,4,8,38,469,565,0,77,129,28,1017,0,0,0,0,0,0,matthew-riccitello,https://www.procyclingstats.com/rider/matthew-riccitello
749,Taj  Jones ,Israel - Premier Tech,26/07/2000,Australia,1.88,72,Nambour,20,15,22,178,40,1088,2526,1,12,473,28,1001,1,2083,60,464,0,0,taj-jones,https://www.procyclingstats.com/rider/taj-jones
750,Derek  Gee ,Israel - Premier Tech,03/08/1997,Canada,1.89,76,Ottawa,18,10,160,32,5,704,658,1,15,420,45,776,9,1460,0,0,0,0,derek-gee,https://www.procyclingstats.com/rider/derek-gee
751,Marco  Frigo ,Israel - Premier Tech,02/03/2000,Italy,1.88,65,Bassano del Grappa,20,38,6,4,70,870,930,0,10,495,29,986,13,1266,7,1238,10,1692,marco-frigo,https://www.procyclingstats.com/rider/marco-frigo
752,Mason  Hollyman ,Israel - Premier Tech,25/06/2000,Great Britain,1.74,59,Huddersfield,9,10,0,2,82,1226,1118,1,0,0,18,1213,27,934,2,1593,0,0,mason-hollyman,https://www.procyclingstats.com/rider/mason-hollyman
753,Caleb  Ewan ,Lotto Dstny,11/07/1994,Australia,1.67,69,Sydney,2202,280,148,4913,1459,57,85,59,203,27,665,62,596,77,865,21,1663,9,caleb-ewan,https://www.procyclingstats.com/rider/caleb-ewan
754,Thomas De Gendt ,Lotto Dstny,06/11/1986,Belgium,1.79,73,Sint-Niklaas,248,1247,2218,466,2546,390,619,17,5,656,130,378,90,486,155,220,398,156,thomas-de-gendt,https://www.procyclingstats.com/rider/thomas-de-gendt
755,Victor  Campenaerts ,Lotto Dstny,28/10/1991,Belgium,1.73,68,Hoboken,616,856,3060,325,579,170,104,9,8,572,459,126,380,135,256,137,425,143,victor-campenaerts,https://www.procyclingstats.com/rider/victor-campenaerts
756,Jasper De Buyst ,Lotto Dstny,24/11/1993,Belgium,1.79,74,Asse,1288,533,119,1094,488,288,241,5,0,0,215,268,113,423,130,261,548,105,jasper-de-buyst,https://www.procyclingstats.com/rider/jasper-de-buyst
757,Eduardo  Sepúlveda ,Lotto Dstny,13/06/1991,Argentina,1.73,59,Rawson,368,1234,392,123,777,266,299,4,6,629,247,244,217,242,45,572,166,376,eduardo-sepulveda,https://www.procyclingstats.com/rider/eduardo-sepulveda
758,Arnaud De Lie ,Lotto Dstny,16/03/2002,Belgium,1.82,78,Libramont,1633,45,1,872,354,6,5,12,416,3,1328,13,52,671,0,0,0,0,arnaud-de-lie,https://www.procyclingstats.com/rider/arnaud-de-lie
759,Jacopo  Guarnieri ,Lotto Dstny,14/08/1987,Italy,1.9,80,Vizzolo Predabissi,711,361,1,1316,230,751,2817,4,5,709,49,736,18,1104,53,500,41,980,jacopo-guarnieri,https://www.procyclingstats.com/rider/jacopo-guarnieri
760,Rüdiger  Selig ,Lotto Dstny,19/02/1989,Germany,1.88,80,Zwenkau,784,256,42,1473,135,606,913,3,5,732,67,605,30,874,30,732,210,305,rudiger-selig,https://www.procyclingstats.com/rider/rudiger-selig
761,Andreas  Kron ,Lotto Dstny,01/06/1998,Denmark,1.77,63,Albertslund,435,404,6,22,930,123,166,3,123,84,403,147,261,206,158,217,142,436,andreas-kron,https://www.procyclingstats.com/rider/andreas-kron
762,Milan  Menten ,Lotto Dstny,31/10/1996,Belgium,1.74,68,Bilzen,792,151,17,712,328,179,139,2,154,54,220,262,268,204,31,713,149,421,milan-menten,https://www.procyclingstats.com/rider/milan-menten
763,Pascal  Eenkhoorn ,Lotto Dstny,08/02/1997,Netherlands,1.85,70,Genemuiden,385,329,193,206,303,360,363,5,38,224,120,403,285,191,123,279,126,478,pascal-eenkhoorn,https://www.procyclingstats.com/rider/pascal-eenkhoorn
764,Florian  Vermeersch ,Lotto Dstny,12/03/1999,Belgium,1.93,85,Ghent,599,144,198,254,94,236,247,1,25,291,251,242,315,169,185,181,5,2030,florian-vermeersch,https://www.procyclingstats.com/rider/florian-vermeersch
765,Michael  Schwarzmann ,Lotto Dstny,07/01/1991,Germany,1.74,69,Kempten,204,212,1,435,238,869,0,1,5,751,41,825,23,997,74,405,101,589,michael-schwarzmann,https://www.procyclingstats.com/rider/michael-schwarzmann
766,Maxim Van Gils ,Lotto Dstny,25/11/1999,Belgium,1.74,63,Brasschaat,216,336,14,12,472,200,195,2,141,67,311,191,135,365,28,759,10,1733,maxim-van-gils,https://www.procyclingstats.com/rider/maxim-van-gils
767,Brent Van Moer ,Lotto Dstny,12/01/1998,Belgium,1.91,79,Beveren,181,146,137,70,210,423,517,1,45,193,80,555,179,295,40,621,91,647,brent-van-moer,https://www.procyclingstats.com/rider/brent-van-moer
768,Arjen  Livyns ,Lotto Dstny,01/09/1994,Belgium,1.7,58,Waregem,397,29,0,158,151,539,581,0,5,753,91,506,111,432,88,351,77,729,arjen-livyns,https://www.procyclingstats.com/rider/arjen-livyns
769,Sylvain  Moniquet ,Lotto Dstny,14/01/1998,Belgium,1.75,61,Namur,139,214,24,8,328,210,236,0,30,262,282,213,53,663,12,1070,6,1947,sylvain-moniquet,https://www.procyclingstats.com/rider/sylvain-moniquet
770,Frederik  Frison ,Lotto Dstny,28/07/1992,Belgium,1.94,84,Geel,252,98,251,136,4,708,1335,0,5,727,50,723,35,810,68,434,20,1332,frederik-frison,https://www.procyclingstats.com/rider/frederik-frison
771,Cedric  Beullens ,Lotto Dstny,27/01/1997,Belgium,1.9,79,Onze-Lieve-Vrouw-Waver,227,34,1,186,72,342,447,0,5,710,161,327,91,482,34,683,13,1592,cedric-beullens,https://www.procyclingstats.com/rider/cedric-beullens
772,Harry  Sweeny ,Lotto Dstny,09/07/1998,Australia,1.86,75,Warwick,79,87,63,63,174,583,916,0,28,271,55,691,103,451,17,932,13,1583,harry-sweeny,https://www.procyclingstats.com/rider/harry-sweeny
773,Mathijs  Paasschens ,Lotto Dstny,18/03/1996,Netherlands,1.88,75,Rotterdam,148,92,6,61,108,432,694,0,5,705,111,428,18,1111,5,1321,96,621,mathijs-paasschens,https://www.procyclingstats.com/rider/mathijs-paasschens
774,Lennert Van Eetvelt ,Lotto Dstny,17/07/2001,Belgium,1.75,63,Tienen,127,73,59,8,121,282,201,0,98,102,108,435,11,1334,0,0,0,0,lennert-van-eetvelt,https://www.procyclingstats.com/rider/lennert-van-eetvelt
775,Alec  Segaert ,Lotto Dstny,16/01/2003,Belgium,1.88,79,None,19,11,80,0,30,579,340,0,2,825,78,564,0,0,0,0,0,0,alec-segaert,https://www.procyclingstats.com/rider/alec-segaert
776,Jarne Van De Paar ,Lotto Dstny,23/10/2000,Belgium,1.87,79,None,57,11,0,134,0,841,533,0,40,214,1,2211,0,0,17,936,17,1420,jarne-van-de-paar,https://www.procyclingstats.com/rider/jarne-van-de-paar
777,Sébastien  Grignard ,Lotto Dstny,29/04/1999,Belgium,1.79,68,Mons,55,15,8,0,15,860,2929,0,0,0,40,836,30,897,0,0,0,0,sebastien-grignard,https://www.procyclingstats.com/rider/sebastien-grignard
778,Jarrad  Drizners ,Lotto Dstny,31/05/1999,Australia,1.86,70,Adelaide,7,42,7,26,18,1174,0,0,15,418,5,1856,15,1212,16,965,0,0,jarrad-drizners,https://www.procyclingstats.com/rider/jarrad-drizners
779,Johannes  Adamietz ,Lotto Dstny,24/05/1998,Germany,1.74,61,Ulm,0,34,40,12,38,1080,1185,0,0,0,29,985,0,0,0,0,6,1968,johannes-adamietz,https://www.procyclingstats.com/rider/johannes-adamietz
780,Liam  Slock ,Lotto Dstny,18/09/2000,Belgium,1.88,78,Ghent,1,2,0,13,16,1864,1800,0,0,0,5,1790,0,2220,0,0,0,0,liam-slock,https://www.procyclingstats.com/rider/liam-slock
781,Valerio  Conti ,Team Corratec,30/03/1993,Italy,1.72,61,Rome,517,778,258,122,1130,1291,0,4,0,0,15,1311,130,378,130,260,393,159,valerio-conti,https://www.procyclingstats.com/rider/valerio-conti
782,German Nicolás  Tivani ,Team Corratec,31/10/1995,Argentina,1.76,67,Pocito,176,241,66,608,74,471,403,2,40,215,99,466,0,0,36,659,57,856,german-nicolas-tivani-perez,https://www.procyclingstats.com/rider/german-nicolas-tivani-perez
783,Etienne van Empel ,Team Corratec,14/04/1994,Netherlands,1.86,64,Tricht,83,167,0,77,104,1778,2235,0,0,0,6,1763,5,1684,26,783,150,419,etienne-van-empel,https://www.procyclingstats.com/rider/etienne-van-empel
784,Attilio  Viviani ,Team Corratec,18/10/1996,Italy,1.74,69,Vallese,97,58,0,339,10,1019,1948,2,7,602,21,1132,45,728,56,488,87,669,attilio-viviani,https://www.procyclingstats.com/rider/attilio-viviani
785,Alexander  Konychev ,Team Corratec,25/07/1998,Italy,1.85,76,Verona,155,15,37,82,20,984,2216,0,0,0,30,954,25,957,49,529,75,739,alexander-konychev,https://www.procyclingstats.com/rider/alexander-konychev
786,Veljko  Stojnić ,Team Corratec,04/02/1999,Serbia,1.87,73,Sombor,21,28,132,59,36,1100,1432,2,0,0,24,1076,12,1321,45,567,17,1415,veljko-stojnic,https://www.procyclingstats.com/rider/veljko-stojnic
787,Nicolas  Dalla Valle ,Team Corratec,13/09/1997,Italy,0,73,Cittadella,18,16,172,190,51,582,1159,0,4,759,81,550,5,1679,0,0,7,1870,nicolas-dalla-valle,https://www.procyclingstats.com/rider/nicolas-dalla-valle
788,Stefano  Gandin ,Team Corratec,28/03/1996,Italy,1.85,69,Vittorio Veneto,30,9,1,91,44,979,1291,1,0,0,30,972,20,1072,0,0,25,1210,stefano-gandin,https://www.procyclingstats.com/rider/stefano-gandin
789,Samuele  Zambelli ,Team Corratec,02/04/1998,Italy,1.8,70,Rovereto,58,0,3,136,22,2252,0,0,0,0,1,2187,43,749,0,0,22,1284,samuele-zambelli,https://www.procyclingstats.com/rider/samuele-zambelli
790,Antonio  Barać ,Team Corratec,19/01/1997,Croatia,1.9,73,Livno,19,26,30,42,17,1079,849,0,0,0,25,1069,0,0,7,1244,6,1977,antonio-barac,https://www.procyclingstats.com/rider/antonio-barac
791,Alessandro  Iacchi ,Team Corratec,26/05/1999,Italy,1.7,59,Borgo San Lorenzo,8,45,0,7,15,799,1198,0,0,0,45,775,0,0,0,0,0,0,alessandro-iacchi,https://www.procyclingstats.com/rider/alessandro-iacchi
792,Charlie  Quarterman ,Team Corratec,06/09/1998,Great Britain,1.8,75,Oxford,5,24,61,20,4,1785,1778,0,0,0,6,1750,15,1170,10,1127,1,2535,charlie-quarterman,https://www.procyclingstats.com/rider/charlie-quarterman
793,Lorenzo  Quartucci ,Team Corratec,05/04/1999,Italy,1.7,64,Sansepolcro,21,4,0,27,13,1520,1407,0,0,0,10,1465,22,1012,0,0,0,0,lorenzo-quartucci2,https://www.procyclingstats.com/rider/lorenzo-quartucci2
794,Marco  Murgano ,Team Corratec,29/03/1998,Italy,0,0,None,21,26,18,5,28,0,0,0,0,0,0,0,0,0,0,0,22,1303,marco-murgano,https://www.procyclingstats.com/rider/marco-murgano
795,Karel  Vacek ,Team Corratec,09/09/2000,Czech Republic,1.78,60,Prague,55,4,0,0,19,1790,1803,0,0,0,6,1748,0,0,0,0,4,2186,karel-vacek,https://www.procyclingstats.com/rider/karel-vacek
796,Jan  Stöckli ,Team Corratec,08/01/1999,Switzerland,0,0,None,0,6,0,12,1,0,2585,0,0,0,0,0,7,1612,0,0,0,0,jan-stockli,https://www.procyclingstats.com/rider/jan-stockli
797,Giulio  Masotto ,Team Corratec,14/05/1999,Italy,1.85,0,Vérone,1,10,10,16,5,0,0,0,0,0,0,0,4,1794,0,0,0,0,giulio-masotto,https://www.procyclingstats.com/rider/giulio-masotto
798,Davide  Baldaccini ,Team Corratec,22/05/1998,Italy,1.76,0,San Giovanni Bianco,1,45,0,2,17,0,0,0,0,0,0,0,0,0,1,1650,0,0,davide-baldaccini,https://www.procyclingstats.com/rider/davide-baldaccini
799,Matteo  Amella ,Team Corratec,26/10/2001,Italy,0,0,Verona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matteo-amella,https://www.procyclingstats.com/rider/matteo-amella
800,Simone  Olivero ,Team Corratec,29/04/2001,Italy,1.7,62,Savigliano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,simone-olivero,https://www.procyclingstats.com/rider/simone-olivero
801,Aaron Van Poucke ,Team Flanders - Baloise,04/04/1998,Belgium,1.77,68,Bruges,135,136,0,120,70,348,422,0,6,644,155,337,61,617,29,744,29,1135,aaron-van-poucke,https://www.procyclingstats.com/rider/aaron-van-poucke
802,Kamiel  Bonneu ,Team Flanders - Baloise,01/08/1999,Belgium,1.78,62,Hamont-Achel,50,18,0,0,93,426,455,2,0,0,118,414,0,0,0,0,0,0,kamiel-bonneu,https://www.procyclingstats.com/rider/kamiel-bonneu
803,Jenno  Berckmoes ,Team Flanders - Baloise,04/02/2001,Belgium,1.77,61,Ghent,84,32,17,20,50,429,441,0,32,252,85,523,0,0,0,0,0,0,jenno-berckmoes,https://www.procyclingstats.com/rider/jenno-berckmoes
804,Lindsay De Vylder ,Team Flanders - Baloise,30/05/1995,Belgium,1.83,70,Wetteren,98,5,0,80,32,959,1465,0,6,638,34,911,14,1236,8,1177,15,1469,lindsay-de-vylder,https://www.procyclingstats.com/rider/lindsay-de-vylder
805,Ward  Vanhoof ,Team Flanders - Baloise,18/04/1999,Belgium,1.86,75,Mol,94,140,12,59,26,652,761,0,8,557,59,660,20,1073,0,0,7,1922,ward-vanhoof,https://www.procyclingstats.com/rider/ward-vanhoof
806,Ruben  Apers ,Team Flanders - Baloise,25/08/1998,Belgium,1.79,70,Vrasene,88,1,16,49,11,724,921,0,0,0,59,662,29,905,1,1627,0,0,ruben-apers,https://www.procyclingstats.com/rider/ruben-apers
807,Aaron  Verwilst ,Team Flanders - Baloise,02/05/1997,Belgium,1.82,68,Ruiselede,76,5,2,51,10,1495,0,0,0,0,15,1318,0,0,0,0,51,908,aaron-verwilst,https://www.procyclingstats.com/rider/aaron-verwilst
808,Vito  Braet ,Team Flanders - Baloise,02/11/2000,Belgium,1.84,68,Zwevezele,94,1,6,68,8,542,651,0,40,217,56,679,2,1928,0,0,0,0,vito-braet,https://www.procyclingstats.com/rider/vito-braet
809,Milan  Fretin ,Team Flanders - Baloise,19/03/2001,Belgium,1.82,70,Genk,59,12,1,85,20,686,698,0,0,0,69,599,10,1437,0,0,0,0,milan-fretin,https://www.procyclingstats.com/rider/milan-fretin
810,Gilles De Wilde ,Team Flanders - Baloise,12/10/1999,Belgium,1.83,75,None,75,0,11,14,2,677,622,0,5,746,55,689,9,1440,6,1276,0,0,gilles-de-wilde,https://www.procyclingstats.com/rider/gilles-de-wilde
811,Jules  Hesters ,Team Flanders - Baloise,11/11/1998,Belgium,1.8,72,Ghent,74,0,0,77,0,1422,2448,0,0,0,42,816,33,839,0,0,0,0,jules-hesters,https://www.procyclingstats.com/rider/jules-hesters
812,Alex  Colman ,Team Flanders - Baloise,22/07/1998,Belgium,1.84,73,Moerzeke,60,0,2,64,8,1506,1947,0,5,696,5,1859,20,1055,0,0,24,1253,alex-colman,https://www.procyclingstats.com/rider/alex-colman
813,Sander De Pestel ,Team Flanders - Baloise,11/10/1998,Belgium,1.84,74,Sint-Niklaas,29,4,2,32,7,1128,2238,0,0,0,27,1028,5,1680,0,0,1,2551,sander-de-pestel,https://www.procyclingstats.com/rider/sander-de-pestel
814,Vincent Van Hemelen ,Team Flanders - Baloise,02/11/2000,Belgium,1.92,69,Herentals,16,18,21,12,14,1154,1058,0,0,0,21,1137,14,1256,0,0,0,0,vincent-van-hemelen,https://www.procyclingstats.com/rider/vincent-van-hemelen
815,Toon  Clynhens ,Team Flanders - Baloise,09/02/2001,Belgium,1.79,61,Hever,2,20,0,0,24,1629,1271,0,0,0,8,1589,16,1150,0,0,0,0,toon-clynhens,https://www.procyclingstats.com/rider/toon-clynhens
816,Tuur  Dens ,Team Flanders - Baloise,26/06/2000,Belgium,1.84,81,None,5,0,0,5,0,1865,0,0,0,0,5,1830,0,0,0,0,0,0,tuur-dens,https://www.procyclingstats.com/rider/tuur-dens
817,Elias  Maris ,Team Flanders - Baloise,05/10/1999,Belgium,0,0,None,14,4,0,15,24,0,2535,0,0,0,4,1888,0,0,0,0,0,0,elias-maris,https://www.procyclingstats.com/rider/elias-maris
818,Arno  Claeys ,Team Flanders - Baloise,20/04/2000,Belgium,1.89,72,Ghent,0,3,18,0,4,2031,2290,0,0,0,3,2016,0,0,0,0,0,0,arno-claeys,https://www.procyclingstats.com/rider/arno-claeys
